F2 CAPITAL MARKET YIELDS – GOVERNMENT BONDS,,,,,,,,,,,,,,,,,,,,,,,,
Title,Australian Government 2 year bond,Australian Government 3 year bond,Australian Government 5 year bond,Australian Government 10 year bond,Australian Government Indexed Bond,NSW Treasury Corporation 3 year bond,NSW Treasury Corporation 5 year bond,NSW Treasury Corporation 10 year bond,,,,,,,,,,,,,,,,
Description,"Yields on Australian government bonds, 2 years maturity","Yields on Australian government bonds, 3 years maturity","Yields on Australian government bonds, 5 years maturity","Yields on Australian government bonds, 10 years maturity","Yields on Australian government bonds, Indexed maturity","Yields on New South Wales Treasury Corporation bonds, 3 years maturity","Yields on New South Wales Treasury Corporation bonds, 5 years maturity","Yields on New South Wales Treasury Corporation bonds, 10 years maturity",,,,,,,,,,,,,,,,
Frequency,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,,,,,,,,,,,,,,,,
Type,Original,Original,Original,Original,Original,Original,Original,Original,,,,,,,,,,,,,,,,
Units,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Source,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,,,,,,,,,,,,,,,,
Publish date,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,,,,,,,,,,,,,,,,
Series ID,FCMYGBAG2D,FCMYGBAG3D,FCMYGBAG5D,FCMYGBAG10D,FCMYGBAGID,FCMYGBNT3D,FCMYGBNT5D,FCMYGBNT10D,,,,,,,,,,,,,,,,
10-Nov-2014,2.52,2.57,2.79,3.28,1.41,2.79,3.11,3.70,,,,,,,,,,,,,,,,
11-Nov-2014,2.54,2.60,2.82,3.33,1.43,2.84,3.14,3.73,,,,,,,,,,,,,,,,
12-Nov-2014,2.56,2.62,2.84,3.34,1.44,2.86,3.17,3.76,,,,,,,,,,,,,,,,
13-Nov-2014,2.56,2.63,2.85,3.35,1.45,2.87,3.18,3.75,,,,,,,,,,,,,,,,
14-Nov-2014,2.55,2.62,2.84,3.34,1.44,2.85,3.17,3.75,,,,,,,,,,,,,,,,
17-Nov-2014,2.54,2.59,2.80,3.26,1.37,2.81,3.13,3.68,,,,,,,,,,,,,,,,
18-Nov-2014,2.54,2.59,2.80,3.29,1.39,2.81,3.14,3.71,,,,,,,,,,,,,,,,
19-Nov-2014,2.52,2.57,2.78,3.28,1.38,2.78,3.12,3.70,,,,,,,,,,,,,,,,
20-Nov-2014,2.52,2.56,2.78,3.27,1.39,2.77,3.11,3.69,,,,,,,,,,,,,,,,
21-Nov-2014,2.53,2.56,2.77,3.26,1.38,2.77,3.09,3.67,,,,,,,,,,,,,,,,
24-Nov-2014,2.52,2.54,2.75,3.25,1.36,2.74,3.05,3.65,,,,,,,,,,,,,,,,
25-Nov-2014,2.50,2.52,2.71,3.20,1.28,2.71,3.01,3.60,,,,,,,,,,,,,,,,
26-Nov-2014,2.45,2.45,2.64,3.13,1.22,2.64,2.94,3.54,,,,,,,,,,,,,,,,
27-Nov-2014,2.46,2.45,2.63,3.11,1.20,2.67,2.91,3.50,,,,,,,,,,,,,,,,
28-Nov-2014,2.43,2.40,2.57,3.03,1.14,2.60,2.86,3.42,,,,,,,,,,,,,,,,
01-Dec-2014,2.39,2.35,2.53,3.00,1.13,2.53,2.81,3.41,,,,,,,,,,,,,,,,
02-Dec-2014,2.45,2.43,2.62,3.11,1.23,2.62,2.87,3.50,,,,,,,,,,,,,,,,
03-Dec-2014,2.39,2.37,2.56,3.10,1.25,2.57,2.82,3.48,,,,,,,,,,,,,,,,
04-Dec-2014,2.38,2.36,2.55,3.07,1.23,2.58,2.80,3.44,,,,,,,,,,,,,,,,
05-Dec-2014,2.32,2.30,2.50,3.04,1.21,2.51,2.74,3.40,,,,,,,,,,,,,,,,
08-Dec-2014,2.35,2.35,2.55,3.09,1.24,2.56,2.77,3.44,,,,,,,,,,,,,,,,
09-Dec-2014,2.31,2.31,2.49,3.03,1.20,2.50,2.73,3.39,,,,,,,,,,,,,,,,
10-Dec-2014,2.28,2.26,2.43,2.93,1.11,2.43,2.68,3.28,,,,,,,,,,,,,,,,
11-Dec-2014,2.25,2.23,2.39,2.86,1.05,2.37,2.63,3.21,,,,,,,,,,,,,,,,
12-Dec-2014,2.32,2.30,2.45,2.90,1.08,2.45,2.69,3.24,,,,,,,,,,,,,,,,
15-Dec-2014,2.28,2.26,2.42,2.96,1.08,2.40,2.65,3.23,,,,,,,,,,,,,,,,
16-Dec-2014,2.29,2.26,2.41,2.93,1.09,2.41,2.65,3.20,,,,,,,,,,,,,,,,
17-Dec-2014,2.25,2.21,2.35,2.85,1.03,2.34,2.59,3.12,,,,,,,,,,,,,,,,
18-Dec-2014,2.26,2.24,2.38,2.92,1.08,2.36,2.59,3.16,,,,,,,,,,,,,,,,
19-Dec-2014,2.32,2.30,2.45,3.01,1.15,2.47,2.64,3.24,,,,,,,,,,,,,,,,
22-Dec-2014,2.27,2.24,2.38,2.93,1.05,2.37,2.58,3.15,,,,,,,,,,,,,,,,
23-Dec-2014,2.27,2.25,2.38,2.90,1.02,2.37,2.57,3.13,,,,,,,,,,,,,,,,
24-Dec-2014,2.29,2.27,2.41,2.95,1.05,2.38,2.59,3.18,,,,,,,,,,,,,,,,
29-Dec-2014,2.26,2.24,2.38,2.92,1.02,2.32,2.56,3.15,,,,,,,,,,,,,,,,
30-Dec-2014,2.22,2.17,2.31,2.83,0.95,2.24,2.49,3.06,,,,,,,,,,,,,,,,
31-Dec-2014,2.19,2.14,2.27,2.81,0.93,2.19,2.46,3.04,,,,,,,,,,,,,,,,
02-Jan-2015,2.23,2.19,2.32,2.87,0.98,2.28,2.51,3.10,,,,,,,,,,,,,,,,
05-Jan-2015,2.20,2.15,2.27,2.76,0.88,2.23,2.46,2.99,,,,,,,,,,,,,,,,
06-Jan-2015,2.20,2.15,2.27,2.71,0.86,2.23,2.46,2.94,,,,,,,,,,,,,,,,
07-Jan-2015,2.16,2.11,2.22,2.68,0.86,2.20,2.42,2.91,,,,,,,,,,,,,,,,
08-Jan-2015,2.21,2.16,2.27,2.73,0.90,2.27,2.46,2.95,,,,,,,,,,,,,,,,
09-Jan-2015,2.20,2.15,2.26,2.72,0.86,2.25,2.45,2.94,,,,,,,,,,,,,,,,
12-Jan-2015,2.20,2.14,2.25,2.69,0.81,2.25,2.47,2.93,,,,,,,,,,,,,,,,
13-Jan-2015,2.16,2.09,2.19,2.61,0.74,2.23,2.40,2.88,,,,,,,,,,,,,,,,
14-Jan-2015,2.15,2.08,2.17,2.57,0.64,2.20,2.40,2.83,,,,,,,,,,,,,,,,
15-Jan-2015,2.21,2.17,2.27,2.67,0.70,2.35,2.50,2.92,,,,,,,,,,,,,,,,
16-Jan-2015,2.13,2.08,2.16,2.56,0.59,2.26,2.41,2.84,,,,,,,,,,,,,,,,
19-Jan-2015,2.16,2.13,2.22,2.63,0.63,2.34,2.48,2.93,,,,,,,,,,,,,,,,
20-Jan-2015,2.18,2.16,2.25,2.67,0.67,2.38,2.51,2.95,,,,,,,,,,,,,,,,
21-Jan-2015,2.15,2.11,2.20,2.60,0.66,2.32,2.47,2.89,,,,,,,,,,,,,,,,
22-Jan-2015,2.11,2.09,2.18,2.60,0.71,2.29,2.43,2.88,,,,,,,,,,,,,,,,
23-Jan-2015,2.12,2.11,2.21,2.63,0.73,2.34,2.44,2.91,,,,,,,,,,,,,,,,
27-Jan-2015,2.09,2.08,2.17,2.57,0.67,2.32,2.41,2.83,,,,,,,,,,,,,,,,
28-Jan-2015,2.16,2.13,2.22,2.61,0.71,2.37,2.45,2.86,,,,,,,,,,,,,,,,
29-Jan-2015,2.00,1.97,2.07,2.48,0.64,2.18,2.29,2.74,,,,,,,,,,,,,,,,
30-Jan-2015,1.97,1.94,2.04,2.44,0.65,2.15,2.30,2.70,,,,,,,,,,,,,,,,
02-Feb-2015,1.99,1.96,2.06,2.44,0.64,2.24,2.35,2.74,,,,,,,,,,,,,,,,
03-Feb-2015,1.84,1.80,1.89,2.28,0.47,2.00,2.20,2.60,,,,,,,,,,,,,,,,
04-Feb-2015,1.94,1.92,2.03,2.47,0.61,2.17,2.30,2.76,,,,,,,,,,,,,,,,
05-Feb-2015,1.91,1.88,1.98,2.40,0.58,2.08,2.27,2.68,,,,,,,,,,,,,,,,
06-Feb-2015,1.94,1.92,2.02,2.45,0.60,2.13,2.30,2.73,,,,,,,,,,,,,,,,
09-Feb-2015,1.98,1.96,2.08,2.55,0.66,2.16,2.31,2.79,,,,,,,,,,,,,,,,
10-Feb-2015,1.97,1.96,2.08,2.55,0.61,2.14,2.33,2.82,,,,,,,,,,,,,,,,
11-Feb-2015,1.97,1.96,2.09,2.59,0.66,2.17,2.37,2.88,,,,,,,,,,,,,,,,
12-Feb-2015,1.88,1.87,2.01,2.54,0.63,2.05,2.28,2.82,,,,,,,,,,,,,,,,
13-Feb-2015,1.87,1.86,1.99,2.50,0.62,2.07,2.27,2.79,,,,,,,,,,,,,,,,
16-Feb-2015,1.88,1.88,2.02,2.55,0.65,2.11,2.33,2.83,,,,,,,,,,,,,,,,
17-Feb-2015,1.88,1.87,2.01,2.53,0.60,2.11,2.32,2.81,,,,,,,,,,,,,,,,
18-Feb-2015,1.90,1.90,2.05,2.60,0.65,2.13,2.36,2.88,,,,,,,,,,,,,,,,
19-Feb-2015,1.85,1.85,2.00,2.55,0.60,2.09,2.32,2.83,,,,,,,,,,,,,,,,
20-Feb-2015,1.87,1.87,2.02,2.57,0.60,2.12,2.35,2.88,,,,,,,,,,,,,,,,
23-Feb-2015,1.88,1.88,2.04,2.58,0.59,2.12,2.36,2.88,,,,,,,,,,,,,,,,
24-Feb-2015,1.88,1.87,2.02,2.54,0.56,2.12,2.35,2.84,,,,,,,,,,,,,,,,
25-Feb-2015,1.87,1.86,2.01,2.50,0.52,2.11,2.35,2.80,,,,,,,,,,,,,,,,
26-Feb-2015,1.80,1.80,1.94,2.42,0.46,2.06,2.28,2.72,,,,,,,,,,,,,,,,
27-Feb-2015,1.79,1.79,1.93,2.46,0.49,2.04,2.27,2.76,,,,,,,,,,,,,,,,
02-Mar-2015,1.81,1.81,1.96,2.50,0.52,2.05,2.27,2.79,,,,,,,,,,,,,,,,
03-Mar-2015,1.87,1.87,2.01,2.55,0.58,2.10,2.31,2.83,,,,,,,,,,,,,,,,
04-Mar-2015,1.91,1.92,2.07,2.64,0.67,2.12,2.35,2.90,,,,,,,,,,,,,,,,
05-Mar-2015,1.92,1.93,2.08,2.63,0.66,2.15,2.38,2.90,,,,,,,,,,,,,,,,
06-Mar-2015,1.91,1.92,2.07,2.64,0.68,2.14,2.37,2.92,,,,,,,,,,,,,,,,
09-Mar-2015,1.97,1.99,2.16,2.74,0.78,2.19,2.44,3.01,,,,,,,,,,,,,,,,
10-Mar-2015,1.94,1.96,2.12,2.68,0.76,2.16,2.42,2.96,,,,,,,,,,,,,,,,
11-Mar-2015,1.87,1.89,2.05,2.59,0.69,2.09,2.36,2.87,,,,,,,,,,,,,,,,
12-Mar-2015,1.83,1.84,2.00,2.51,0.63,2.05,2.31,2.82,,,,,,,,,,,,,,,,
13-Mar-2015,1.88,1.89,2.04,2.55,0.67,2.10,2.35,2.85,,,,,,,,,,,,,,,,
16-Mar-2015,1.83,1.83,1.99,2.48,0.62,2.05,2.30,2.78,,,,,,,,,,,,,,,,
17-Mar-2015,1.86,1.86,2.00,2.47,0.62,2.08,2.32,2.79,,,,,,,,,,,,,,,,
18-Mar-2015,1.85,1.85,1.99,2.45,0.61,2.07,2.31,2.77,,,,,,,,,,,,,,,,
19-Mar-2015,1.79,1.78,1.91,2.35,0.49,2.02,2.24,2.69,,,,,,,,,,,,,,,,
20-Mar-2015,1.77,1.76,1.91,2.39,0.51,2.02,2.26,2.75,,,,,,,,,,,,,,,,
23-Mar-2015,1.78,1.78,1.92,2.39,0.52,2.05,2.27,2.75,,,,,,,,,,,,,,,,
24-Mar-2015,1.78,1.78,1.91,2.37,0.49,2.04,2.26,2.73,,,,,,,,,,,,,,,,
25-Mar-2015,1.75,1.74,1.87,2.33,0.43,1.98,2.20,2.67,,,,,,,,,,,,,,,,
26-Mar-2015,1.76,1.74,1.87,2.33,0.43,1.98,2.18,2.64,,,,,,,,,,,,,,,,
27-Mar-2015,1.79,1.78,1.92,2.41,0.50,2.02,2.23,2.72,,,,,,,,,,,,,,,,
30-Mar-2015,1.74,1.73,1.87,2.36,0.45,1.95,2.17,2.64,,,,,,,,,,,,,,,,
31-Mar-2015,1.72,1.71,1.84,2.32,0.40,1.93,2.13,2.59,,,,,,,,,,,,,,,,
01-Apr-2015,1.74,1.72,1.86,2.33,0.41,1.94,2.14,2.58,,,,,,,,,,,,,,,,
02-Apr-2015,1.70,1.68,1.83,2.30,0.37,1.90,2.11,2.56,,,,,,,,,,,,,,,,
07-Apr-2015,1.78,1.75,1.91,2.35,0.43,1.98,2.19,2.61,,,,,,,,,,,,,,,,
08-Apr-2015,1.77,1.74,1.88,2.33,0.41,1.97,2.17,2.59,,,,,,,,,,,,,,,,
09-Apr-2015,1.77,1.74,1.89,2.35,0.43,1.96,2.17,2.60,,,,,,,,,,,,,,,,
10-Apr-2015,1.80,1.77,1.91,2.37,0.45,1.99,2.19,2.61,,,,,,,,,,,,,,,,
13-Apr-2015,1.76,1.73,1.87,2.34,0.43,1.94,2.15,2.58,,,,,,,,,,,,,,,,
14-Apr-2015,1.73,1.70,1.84,2.31,0.40,1.94,2.14,2.58,,,,,,,,,,,,,,,,
15-Apr-2015,1.71,1.68,1.82,2.28,0.39,1.92,2.11,2.55,,,,,,,,,,,,,,,,
16-Apr-2015,1.83,1.79,1.92,2.37,0.44,2.03,2.22,2.62,,,,,,,,,,,,,,,,
17-Apr-2015,1.84,1.79,1.92,2.35,0.42,2.03,2.22,2.60,,,,,,,,,,,,,,,,
20-Apr-2015,1.87,1.82,1.96,2.40,0.45,2.07,2.27,2.67,,,,,,,,,,,,,,,,
21-Apr-2015,1.86,1.81,1.95,2.39,0.44,2.05,2.26,2.66,,,,,,,,,,,,,,,,
22-Apr-2015,1.91,1.87,2.00,2.44,0.45,2.12,2.31,2.70,,,,,,,,,,,,,,,,
23-Apr-2015,1.95,1.90,2.05,2.52,0.54,2.15,2.35,2.78,,,,,,,,,,,,,,,,
24-Apr-2015,1.94,1.91,2.06,2.53,0.55,2.16,2.34,2.77,,,,,,,,,,,,,,,,
27-Apr-2015,1.91,1.87,2.02,2.50,0.53,2.12,2.30,2.75,,,,,,,,,,,,,,,,
28-Apr-2015,1.96,1.93,2.08,2.56,0.58,2.18,2.36,2.80,,,,,,,,,,,,,,,,
29-Apr-2015,1.96,1.94,2.09,2.60,0.65,2.19,2.37,2.84,,,,,,,,,,,,,,,,
30-Apr-2015,1.95,1.94,2.11,2.65,0.70,2.17,2.38,2.89,,,,,,,,,,,,,,,,
01-May-2015,1.92,1.93,2.11,2.68,0.74,2.16,2.38,2.92,,,,,,,,,,,,,,,,
04-May-2015,1.91,1.92,2.11,2.69,0.75,2.16,2.39,2.93,,,,,,,,,,,,,,,,
05-May-2015,1.99,2.03,2.21,2.79,0.83,2.26,2.49,3.02,,,,,,,,,,,,,,,,
06-May-2015,2.06,2.12,2.33,2.93,0.95,2.33,2.58,3.13,,,,,,,,,,,,,,,,
07-May-2015,2.07,2.14,2.36,2.99,1.02,2.33,2.60,3.18,,,,,,,,,,,,,,,,
08-May-2015,2.02,2.08,2.26,2.84,0.88,2.27,2.52,3.06,,,,,,,,,,,,,,,,
11-May-2015,2.03,2.10,2.27,2.86,0.90,2.28,2.52,3.07,,,,,,,,,,,,,,,,
12-May-2015,2.12,2.21,2.42,3.05,1.10,2.38,2.65,3.24,,,,,,,,,,,,,,,,
13-May-2015,2.07,2.16,2.36,2.96,1.01,2.32,2.61,3.16,,,,,,,,,,,,,,,,
14-May-2015,2.05,2.14,2.36,3.00,1.09,2.30,2.61,3.20,,,,,,,,,,,,,,,,
15-May-2015,1.99,2.08,2.28,2.90,1.01,2.23,2.53,3.11,,,,,,,,,,,,,,,,
18-May-2015,2.00,2.08,2.28,2.87,0.97,2.21,2.51,3.08,,,,,,,,,,,,,,,,
19-May-2015,2.03,2.12,2.33,2.94,1.05,2.25,2.54,3.14,,,,,,,,,,,,,,,,
20-May-2015,2.03,2.12,2.34,2.97,1.08,2.25,2.55,3.16,,,,,,,,,,,,,,,,
21-May-2015,2.00,2.08,2.30,2.94,1.04,2.22,2.52,3.15,,,,,,,,,,,,,,,,
22-May-2015,1.99,2.07,2.29,2.92,1.02,2.23,2.54,3.14,,,,,,,,,,,,,,,,
25-May-2015,2.00,2.07,2.29,2.91,1.03,2.23,2.52,3.13,,,,,,,,,,,,,,,,
26-May-2015,2.01,2.08,2.30,2.92,1.05,2.23,2.53,3.14,,,,,,,,,,,,,,,,
27-May-2015,1.99,2.05,2.25,2.84,0.99,2.21,2.50,3.08,,,,,,,,,,,,,,,,
28-May-2015,1.93,1.97,2.19,2.78,0.97,2.14,2.44,3.03,,,,,,,,,,,,,,,,
29-May-2015,1.88,1.91,2.12,2.73,0.92,2.08,2.37,2.97,,,,,,,,,,,,,,,,
01-Jun-2015,1.86,1.89,2.10,2.71,0.89,2.07,2.36,2.95,,,,,,,,,,,,,,,,
02-Jun-2015,1.93,1.95,2.15,2.74,0.91,2.13,2.40,2.98,,,,,,,,,,,,,,,,
03-Jun-2015,2.00,2.03,2.26,2.89,1.05,2.22,2.51,3.12,,,,,,,,,,,,,,,,
04-Jun-2015,2.04,2.09,2.35,3.04,1.18,2.26,2.58,3.24,,,,,,,,,,,,,,,,
05-Jun-2015,2.04,2.10,2.36,3.04,1.18,2.28,2.59,3.25,,,,,,,,,,,,,,,,
09-Jun-2015,2.01,2.06,2.30,2.97,1.09,2.23,2.55,3.19,,,,,,,,,,,,,,,,
10-Jun-2015,2.03,2.08,2.35,3.05,1.17,2.25,2.58,3.25,,,,,,,,,,,,,,,,
11-Jun-2015,2.09,2.16,2.42,3.15,1.26,2.33,2.67,3.36,,,,,,,,,,,,,,,,
12-Jun-2015,2.05,2.09,2.34,3.02,1.15,2.27,2.60,3.24,,,,,,,,,,,,,,,,
15-Jun-2015,2.02,2.06,2.32,3.01,1.15,2.26,2.58,3.25,,,,,,,,,,,,,,,,
16-Jun-2015,2.00,2.03,2.30,3.01,1.15,2.23,2.57,3.25,,,,,,,,,,,,,,,,
17-Jun-2015,1.98,2.01,2.28,2.99,1.15,2.22,2.56,3.24,,,,,,,,,,,,,,,,
18-Jun-2015,1.90,1.91,2.17,2.85,1.04,2.14,2.47,3.12,,,,,,,,,,,,,,,,
19-Jun-2015,1.89,1.88,2.16,2.88,1.09,2.11,2.45,3.14,,,,,,,,,,,,,,,,
22-Jun-2015,1.95,1.95,2.23,2.95,1.15,2.18,2.52,3.20,,,,,,,,,,,,,,,,
23-Jun-2015,2.03,2.07,2.35,3.06,1.23,2.26,2.60,3.27,,,,,,,,,,,,,,,,
24-Jun-2015,2.02,2.06,2.34,3.05,1.22,2.23,2.57,3.23,,,,,,,,,,,,,,,,
25-Jun-2015,2.03,2.08,2.35,3.06,1.23,2.25,2.59,3.24,,,,,,,,,,,,,,,,
26-Jun-2015,2.04,2.09,2.37,3.06,1.23,2.26,2.60,3.23,,,,,,,,,,,,,,,,
29-Jun-2015,1.99,2.02,2.27,2.96,1.15,2.24,2.55,3.18,,,,,,,,,,,,,,,,
30-Jun-2015,2.01,2.05,2.32,3.01,1.21,2.26,2.58,3.21,,,,,,,,,,,,,,,,
01-Jul-2015,1.97,2.03,2.31,3.01,1.23,2.23,2.57,3.20,,,,,,,,,,,,,,,,
02-Jul-2015,2.01,2.08,2.39,3.11,1.29,2.27,2.62,3.29,,,,,,,,,,,,,,,,
03-Jul-2015,1.96,2.03,2.33,3.07,1.24,2.23,2.57,3.24,,,,,,,,,,,,,,,,
06-Jul-2015,1.88,1.93,2.21,2.93,1.13,2.17,2.48,3.14,,,,,,,,,,,,,,,,
07-Jul-2015,1.89,1.91,2.18,2.91,1.10,2.14,2.45,3.11,,,,,,,,,,,,,,,,
08-Jul-2015,1.83,1.82,2.06,2.75,0.97,2.05,2.34,2.98,,,,,,,,,,,,,,,,
09-Jul-2015,1.88,1.87,2.12,2.81,1.04,2.11,2.41,3.04,,,,,,,,,,,,,,,,
10-Jul-2015,1.93,1.95,2.22,2.94,1.14,2.17,2.49,3.14,,,,,,,,,,,,,,,,
13-Jul-2015,1.95,1.98,2.25,3.00,1.19,2.19,2.52,3.18,,,,,,,,,,,,,,,,
14-Jul-2015,1.97,2.01,2.29,3.02,1.21,2.22,2.53,3.20,,,,,,,,,,,,,,,,
15-Jul-2015,1.98,2.02,2.29,3.03,1.21,2.22,2.54,3.21,,,,,,,,,,,,,,,,
16-Jul-2015,1.95,1.98,2.25,2.97,1.16,2.17,2.48,3.14,,,,,,,,,,,,,,,,
17-Jul-2015,1.95,1.99,2.24,2.95,1.14,2.18,2.49,3.11,,,,,,,,,,,,,,,,
20-Jul-2015,1.96,2.00,2.24,2.92,1.12,2.20,2.49,3.09,,,,,,,,,,,,,,,,
21-Jul-2015,1.96,2.00,2.25,2.94,1.14,2.19,2.49,3.09,,,,,,,,,,,,,,,,
22-Jul-2015,1.93,1.96,2.21,2.90,1.11,2.15,2.46,3.06,,,,,,,,,,,,,,,,
23-Jul-2015,1.91,1.94,2.18,2.86,1.08,2.13,2.43,3.01,,,,,,,,,,,,,,,,
24-Jul-2015,1.87,1.88,2.12,2.82,1.06,2.09,2.37,2.99,,,,,,,,,,,,,,,,
27-Jul-2015,1.84,1.85,2.08,2.75,1.02,2.06,2.33,2.93,,,,,,,,,,,,,,,,
28-Jul-2015,1.86,1.88,2.11,2.76,1.05,2.09,2.37,2.95,,,,,,,,,,,,,,,,
29-Jul-2015,1.87,1.89,2.12,2.79,1.08,2.09,2.37,2.97,,,,,,,,,,,,,,,,
30-Jul-2015,1.91,1.93,2.17,2.84,1.10,2.13,2.42,3.01,,,,,,,,,,,,,,,,
31-Jul-2015,1.88,1.90,2.12,2.76,1.02,2.10,2.38,2.93,,,,,,,,,,,,,,,,
03-Aug-2015,1.87,1.88,2.10,2.76,1.02,2.08,2.36,2.93,,,,,,,,,,,,,,,,
04-Aug-2015,1.90,1.91,2.12,2.74,1.00,2.11,2.39,2.91,,,,,,,,,,,,,,,,
05-Aug-2015,1.95,1.97,2.19,2.81,1.09,2.17,2.45,2.99,,,,,,,,,,,,,,,,
06-Aug-2015,1.95,1.96,2.19,2.83,1.10,2.17,2.45,3.01,,,,,,,,,,,,,,,,
07-Aug-2015,1.96,1.98,2.20,2.85,1.17,2.18,2.47,3.03,,,,,,,,,,,,,,,,
10-Aug-2015,1.96,1.97,2.19,2.78,1.09,2.19,2.45,2.97,,,,,,,,,,,,,,,,
11-Aug-2015,1.95,1.96,2.18,2.78,1.12,2.17,2.45,2.97,,,,,,,,,,,,,,,,
12-Aug-2015,1.89,1.87,2.09,2.66,1.00,2.09,2.37,2.88,,,,,,,,,,,,,,,,
13-Aug-2015,1.93,1.93,2.15,2.74,1.03,2.15,2.43,2.95,,,,,,,,,,,,,,,,
14-Aug-2015,1.96,1.96,2.18,2.78,1.06,2.19,2.47,3.00,,,,,,,,,,,,,,,,
17-Aug-2015,1.95,1.97,2.19,2.78,1.06,2.18,2.47,2.99,,,,,,,,,,,,,,,,
18-Aug-2015,1.93,1.94,2.15,2.74,1.02,2.15,2.43,2.96,,,,,,,,,,,,,,,,
19-Aug-2015,1.92,1.93,2.16,2.74,1.03,2.14,2.43,2.95,,,,,,,,,,,,,,,,
20-Aug-2015,1.88,1.88,2.09,2.67,1.00,2.08,2.36,2.89,,,,,,,,,,,,,,,,
21-Aug-2015,1.83,1.81,2.02,2.59,0.95,2.02,2.29,2.82,,,,,,,,,,,,,,,,
24-Aug-2015,1.75,1.71,1.92,2.50,0.88,1.93,2.21,2.74,,,,,,,,,,,,,,,,
25-Aug-2015,1.77,1.76,1.97,2.59,0.97,1.98,2.28,2.83,,,,,,,,,,,,,,,,
26-Aug-2015,1.78,1.77,2.00,2.66,1.02,2.00,2.30,2.89,,,,,,,,,,,,,,,,
27-Aug-2015,1.79,1.79,2.03,2.71,1.09,2.01,2.33,2.93,,,,,,,,,,,,,,,,
28-Aug-2015,1.81,1.82,2.06,2.73,1.10,2.03,2.35,2.96,,,,,,,,,,,,,,,,
31-Aug-2015,1.77,1.77,2.00,2.66,1.01,1.98,2.30,2.89,,,,,,,,,,,,,,,,
01-Sep-2015,1.77,1.76,2.00,2.64,0.98,1.99,2.30,2.87,,,,,,,,,,,,,,,,
02-Sep-2015,1.80,1.79,2.04,2.69,1.05,2.03,2.35,2.94,,,,,,,,,,,,,,,,
03-Sep-2015,1.78,1.77,2.02,2.69,1.05,2.01,2.33,2.92,,,,,,,,,,,,,,,,
04-Sep-2015,1.74,1.74,1.98,2.63,1.00,1.98,2.30,2.88,,,,,,,,,,,,,,,,
07-Sep-2015,1.78,1.77,2.02,2.66,1.04,2.02,2.33,2.91,,,,,,,,,,,,,,,,
08-Sep-2015,1.80,1.79,2.04,2.67,1.04,2.04,2.35,2.91,,,,,,,,,,,,,,,,
09-Sep-2015,1.86,1.85,2.10,2.74,1.10,2.09,2.41,2.97,,,,,,,,,,,,,,,,
10-Sep-2015,1.88,1.87,2.10,2.71,1.09,2.11,2.41,2.95,,,,,,,,,,,,,,,,
11-Sep-2015,1.89,1.88,2.13,2.74,1.11,2.13,2.44,2.97,,,,,,,,,,,,,,,,
14-Sep-2015,1.87,1.87,2.12,2.70,1.07,2.12,2.42,2.93,,,,,,,,,,,,,,,,
15-Sep-2015,1.87,1.87,2.11,2.68,1.05,2.12,2.40,2.91,,,,,,,,,,,,,,,,
16-Sep-2015,1.92,1.93,2.20,2.80,1.15,2.17,2.49,3.02,,,,,,,,,,,,,,,,
17-Sep-2015,1.97,2.00,2.27,2.87,1.21,2.23,2.55,3.07,,,,,,,,,,,,,,,,
18-Sep-2015,1.91,1.93,2.19,2.77,1.13,2.16,2.47,2.99,,,,,,,,,,,,,,,,
21-Sep-2015,1.90,1.91,2.16,2.72,1.10,2.14,2.44,2.94,,,,,,,,,,,,,,,,
22-Sep-2015,1.92,1.94,2.19,2.75,1.17,2.16,2.46,2.97,,,,,,,,,,,,,,,,
23-Sep-2015,1.88,1.89,2.13,2.67,1.11,2.12,2.41,2.91,,,,,,,,,,,,,,,,
24-Sep-2015,1.86,1.86,2.11,2.66,1.10,2.08,2.38,2.90,,,,,,,,,,,,,,,,
25-Sep-2015,1.89,1.90,2.15,2.69,1.14,2.12,2.41,2.92,,,,,,,,,,,,,,,,
28-Sep-2015,1.89,1.91,2.15,2.69,1.13,2.12,2.41,2.91,,,,,,,,,,,,,,,,
29-Sep-2015,1.80,1.81,2.05,2.58,1.07,2.02,2.31,2.81,,,,,,,,,,,,,,,,
30-Sep-2015,1.81,1.82,2.06,2.61,1.01,2.04,2.32,2.83,,,,,,,,,,,,,,,,
01-Oct-2015,1.83,1.84,2.08,2.62,1.02,2.05,2.33,2.84,,,,,,,,,,,,,,,,
02-Oct-2015,1.83,1.84,2.08,2.62,1.02,2.06,2.34,2.84,,,,,,,,,,,,,,,,
06-Oct-2015,1.82,1.83,2.06,2.61,0.99,2.05,2.32,2.82,,,,,,,,,,,,,,,,
07-Oct-2015,1.84,1.86,2.09,2.63,1.01,2.08,2.36,2.85,,,,,,,,,,,,,,,,
