F2 CAPITAL MARKET YIELDS – GOVERNMENT BONDS,,,,,,,,,,,,,,,,,,,,,,,,
Title,Australian Government 2 year bond,Australian Government 3 year bond,Australian Government 5 year bond,Australian Government 10 year bond,Australian Government Indexed Bond,NSW Treasury Corporation 3 year bond,NSW Treasury Corporation 5 year bond,NSW Treasury Corporation 10 year bond,,,,,,,,,,,,,,,,
Description,"Yields on Australian government bonds, 2 years maturity","Yields on Australian government bonds, 3 years maturity","Yields on Australian government bonds, 5 years maturity","Yields on Australian government bonds, 10 years maturity","Yields on Australian government bonds, Indexed maturity","Yields on New South Wales Treasury Corporation bonds, 3 years maturity","Yields on New South Wales Treasury Corporation bonds, 5 years maturity","Yields on New South Wales Treasury Corporation bonds, 10 years maturity",,,,,,,,,,,,,,,,
Frequency,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,,,,,,,,,,,,,,,,
Type,Original,Original,Original,Original,Original,Original,Original,Original,,,,,,,,,,,,,,,,
Units,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Source,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,Yieldbroker,,,,,,,,,,,,,,,,
Publish date,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,18-Mar-2019,,,,,,,,,,,,,,,,
Series ID,FCMYGBAG2D,FCMYGBAG3D,FCMYGBAG5D,FCMYGBAG10D,FCMYGBAGID,FCMYGBNT3D,FCMYGBNT5D,FCMYGBNT10D,,,,,,,,,,,,,,,,
07-Aug-2013,2.34,2.50,2.95,3.69,1.66,2.88,3.43,4.39,,,,,,,,,,,,,,,,
08-Aug-2013,2.35,2.52,2.95,3.67,1.63,2.90,3.44,4.38,,,,,,,,,,,,,,,,
09-Aug-2013,2.39,2.56,2.99,3.71,1.70,2.94,3.48,4.42,,,,,,,,,,,,,,,,
12-Aug-2013,2.40,2.57,3.00,3.69,1.67,2.96,3.50,4.40,,,,,,,,,,,,,,,,
13-Aug-2013,2.44,2.61,3.05,3.75,1.73,2.99,3.54,4.45,,,,,,,,,,,,,,,,
14-Aug-2013,2.50,2.68,3.13,3.85,1.82,3.05,3.60,4.53,,,,,,,,,,,,,,,,
15-Aug-2013,2.54,2.71,3.18,3.90,1.86,3.08,3.64,4.57,,,,,,,,,,,,,,,,
16-Aug-2013,2.59,2.77,3.25,3.97,1.90,3.14,3.70,4.64,,,,,,,,,,,,,,,,
19-Aug-2013,2.61,2.81,3.29,4.02,1.95,3.18,3.75,4.69,,,,,,,,,,,,,,,,
20-Aug-2013,2.57,2.76,3.24,3.98,1.92,3.15,3.73,4.68,,,,,,,,,,,,,,,,
21-Aug-2013,2.57,2.77,3.24,3.97,1.92,3.14,3.71,4.66,,,,,,,,,,,,,,,,
22-Aug-2013,2.63,2.85,3.33,4.08,2.03,3.19,3.77,4.73,,,,,,,,,,,,,,,,
23-Aug-2013,2.61,2.83,3.30,4.05,2.03,3.18,3.75,4.70,,,,,,,,,,,,,,,,
26-Aug-2013,2.61,2.83,3.29,4.01,1.99,3.18,3.74,4.67,,,,,,,,,,,,,,,,
27-Aug-2013,2.56,2.77,3.22,3.94,1.93,3.13,3.69,4.60,,,,,,,,,,,,,,,,
28-Aug-2013,2.54,2.75,3.20,3.91,1.89,3.12,3.68,4.59,,,,,,,,,,,,,,,,
29-Aug-2013,2.55,2.76,3.22,3.91,1.90,3.13,3.69,4.58,,,,,,,,,,,,,,,,
30-Aug-2013,2.53,2.74,3.20,3.90,1.89,3.11,3.67,4.57,,,,,,,,,,,,,,,,
02-Sep-2013,2.60,2.80,3.26,3.96,1.96,3.17,3.73,4.63,,,,,,,,,,,,,,,,
03-Sep-2013,2.65,2.85,3.31,4.00,1.99,3.23,3.79,4.67,,,,,,,,,,,,,,,,
04-Sep-2013,2.71,2.92,3.37,4.02,2.01,3.30,3.85,4.70,,,,,,,,,,,,,,,,
05-Sep-2013,2.75,2.97,3.41,4.07,2.06,3.35,3.90,4.75,,,,,,,,,,,,,,,,
06-Sep-2013,2.79,3.01,3.46,4.14,2.14,3.38,3.94,4.82,,,,,,,,,,,,,,,,
09-Sep-2013,2.74,2.95,3.40,4.07,2.07,3.33,3.89,4.77,,,,,,,,,,,,,,,,
10-Sep-2013,2.81,3.03,3.47,4.13,2.10,3.38,3.95,4.81,,,,,,,,,,,,,,,,
11-Sep-2013,2.81,3.04,3.48,4.17,2.13,3.37,3.94,4.84,,,,,,,,,,,,,,,,
12-Sep-2013,2.70,2.92,3.36,4.04,2.03,3.27,3.84,4.72,,,,,,,,,,,,,,,,
13-Sep-2013,2.74,2.97,3.41,4.09,2.09,3.31,3.88,4.76,,,,,,,,,,,,,,,,
16-Sep-2013,2.69,2.91,3.34,4.00,2.01,3.26,3.82,4.68,,,,,,,,,,,,,,,,
17-Sep-2013,2.74,2.96,3.39,4.05,2.05,3.30,3.87,4.72,,,,,,,,,,,,,,,,
18-Sep-2013,2.75,2.97,3.40,4.06,2.05,3.31,3.89,4.75,,,,,,,,,,,,,,,,
19-Sep-2013,2.62,2.82,3.24,3.89,1.87,3.18,3.75,4.60,,,,,,,,,,,,,,,,
20-Sep-2013,2.66,2.86,3.28,3.94,1.98,3.22,3.78,4.64,,,,,,,,,,,,,,,,
23-Sep-2013,2.68,2.89,3.31,3.97,2.03,3.24,3.80,4.67,,,,,,,,,,,,,,,,
24-Sep-2013,2.64,2.84,3.25,3.90,1.98,3.19,3.75,4.60,,,,,,,,,,,,,,,,
25-Sep-2013,2.61,2.81,3.21,3.88,1.97,3.15,3.71,4.59,,,,,,,,,,,,,,,,
26-Sep-2013,2.61,2.82,3.23,3.88,1.92,3.16,3.72,4.58,,,,,,,,,,,,,,,,
27-Sep-2013,2.61,2.81,3.21,3.86,1.88,3.15,3.71,4.56,,,,,,,,,,,,,,,,
30-Sep-2013,2.57,2.77,3.17,3.81,2.06,3.12,3.67,4.52,,,,,,,,,,,,,,,,
01-Oct-2013,2.64,2.83,3.23,3.85,2.08,3.18,3.73,4.55,,,,,,,,,,,,,,,,
02-Oct-2013,2.63,2.84,3.24,3.85,2.06,3.18,3.73,4.55,,,,,,,,,,,,,,,,
03-Oct-2013,2.63,2.84,3.23,3.86,2.05,3.17,3.72,4.55,,,,,,,,,,,,,,,,
04-Oct-2013,2.68,2.91,3.31,3.94,2.13,3.24,3.80,4.64,,,,,,,,,,,,,,,,
07-Oct-2013,2.73,2.95,3.36,4.00,2.13,3.28,3.85,4.70,,,,,,,,,,,,,,,,
08-Oct-2013,2.71,2.95,3.35,3.99,2.18,3.27,3.84,4.68,,,,,,,,,,,,,,,,
09-Oct-2013,2.74,2.97,3.37,4.00,2.18,3.30,3.87,4.70,,,,,,,,,,,,,,,,
10-Oct-2013,2.80,3.05,3.45,4.07,2.22,3.37,3.95,4.78,,,,,,,,,,,,,,,,
11-Oct-2013,2.79,3.03,3.42,4.04,2.20,3.35,3.93,4.75,,,,,,,,,,,,,,,,
14-Oct-2013,2.76,3.00,3.40,4.03,2.19,3.33,3.91,4.75,,,,,,,,,,,,,,,,
15-Oct-2013,2.82,3.08,3.49,4.12,2.24,3.40,3.98,4.82,,,,,,,,,,,,,,,,
16-Oct-2013,2.82,3.09,3.50,4.15,2.27,3.39,3.98,4.85,,,,,,,,,,,,,,,,
17-Oct-2013,2.73,2.99,3.40,4.05,2.22,3.30,3.89,4.75,,,,,,,,,,,,,,,,
18-Oct-2013,2.72,2.98,3.39,4.03,2.19,3.29,3.88,4.73,,,,,,,,,,,,,,,,
21-Oct-2013,2.71,2.97,3.37,3.99,2.16,3.29,3.86,4.69,,,,,,,,,,,,,,,,
22-Oct-2013,2.74,3.00,3.40,4.02,2.18,3.30,3.88,4.70,,,,,,,,,,,,,,,,
23-Oct-2013,2.68,2.94,3.32,3.91,2.05,3.23,3.80,4.58,,,,,,,,,,,,,,,,
24-Oct-2013,2.68,2.94,3.32,3.90,2.04,3.23,3.79,4.58,,,,,,,,,,,,,,,,
25-Oct-2013,2.68,2.93,3.31,3.89,2.02,3.23,3.78,4.56,,,,,,,,,,,,,,,,
28-Oct-2013,2.69,2.94,3.33,3.93,2.06,3.23,3.79,4.60,,,,,,,,,,,,,,,,
29-Oct-2013,2.65,2.90,3.29,3.90,2.03,3.19,3.74,4.57,,,,,,,,,,,,,,,,
