DATE,T10YIE,T5YIFR
2012-01-24,2.09,2.37
2012-01-25,2.13,2.43
2012-01-26,2.12,2.38
2012-01-27,2.11,2.34
2012-01-30,2.11,2.35
2012-01-31,2.11,2.34
2012-02-01,2.15,2.41
2012-02-02,2.16,2.43
2012-02-03,2.18,2.48
2012-02-06,2.19,2.47
2012-02-07,2.21,2.47
2012-02-08,2.22,2.53
2012-02-09,2.21,2.51
2012-02-10,2.2,2.52
2012-02-13,2.21,2.45
2012-02-14,2.19,2.46
2012-02-15,2.19,2.48
2012-02-16,2.23,2.53
2012-02-17,2.24,2.55
2012-02-20,,
2012-02-21,2.27,2.56
2012-02-22,2.28,2.57
2012-02-23,2.29,2.54
2012-02-24,2.27,2.51
2012-02-27,2.24,2.46
2012-02-28,2.25,2.51
2012-02-29,2.26,2.53
2012-03-01,2.26,2.53
2012-03-02,2.23,2.51
2012-03-05,2.2,2.46
2012-03-06,2.17,2.42
2012-03-07,2.2,2.42
2012-03-08,2.24,2.47
2012-03-09,2.28,2.49
2012-03-12,2.28,2.5
2012-03-13,2.34,2.55
2012-03-14,2.36,2.57
2012-03-15,2.37,2.61
2012-03-16,2.4,2.68
2012-03-19,2.42,2.71
2012-03-20,2.42,2.69
2012-03-21,2.39,2.67
2012-03-22,2.37,2.68
2012-03-23,2.36,2.68
2012-03-26,2.34,2.66
2012-03-27,2.33,2.65
2012-03-28,2.32,2.61
2012-03-29,2.31,2.63
2012-03-30,2.32,2.62
2012-04-02,2.36,2.68
2012-04-03,2.36,2.68
2012-04-04,2.3,2.64
2012-04-05,2.27,2.59
2012-04-06,2.23,2.61
2012-04-09,2.23,2.62
2012-04-10,2.25,2.63
2012-04-11,2.3,2.65
2012-04-12,2.3,2.69
2012-04-13,2.27,2.63
2012-04-16,2.26,2.63
2012-04-17,2.29,2.67
2012-04-18,2.26,2.65
2012-04-19,2.19,2.47
2012-04-20,2.23,2.5
2012-04-23,2.22,2.49
2012-04-24,2.25,2.49
2012-04-25,2.25,2.48
2012-04-26,2.27,2.5
2012-04-27,2.26,2.46
2012-04-30,2.25,2.44
2012-05-01,2.26,2.46
2012-05-02,2.24,2.44
2012-05-03,2.23,2.45
2012-05-04,2.21,2.49
2012-05-07,2.19,2.44
2012-05-08,2.16,2.37
2012-05-09,2.14,2.34
2012-05-10,2.14,2.32
2012-05-11,2.12,2.33
2012-05-14,2.11,2.31
2012-05-15,2.12,2.32
2012-05-16,2.09,2.29
2012-05-17,2.05,2.23
2012-05-18,2.1,2.35
2012-05-21,2.16,2.46
2012-05-22,2.17,2.47
2012-05-23,2.14,2.48
2012-05-24,2.14,2.49
2012-05-25,2.13,2.48
2012-05-28,,
2012-05-29,2.11,2.46
2012-05-30,2.08,2.45
2012-05-31,2.09,2.46
2012-06-01,2.06,2.47
2012-06-04,2.09,2.49
2012-06-05,2.13,2.55
2012-06-06,2.16,2.59
2012-06-07,2.15,2.53
2012-06-08,2.15,2.51
2012-06-11,2.13,2.47
2012-06-12,2.15,2.49
2012-06-13,2.12,2.44
2012-06-14,2.11,2.43
2012-06-15,2.14,2.42
2012-06-18,2.13,2.41
2012-06-19,2.17,2.47
2012-06-20,2.16,2.44
2012-06-21,2.1,2.43
2012-06-22,2.11,2.48
2012-06-25,2.1,2.5
2012-06-26,2.11,2.52
2012-06-27,2.1,2.52
2012-06-28,2.08,2.52
2012-06-29,2.13,2.54
2012-07-02,2.11,2.51
2012-07-03,2.13,2.49
2012-07-04,,
2012-07-05,2.13,2.46
2012-07-06,2.1,2.44
2012-07-09,2.1,2.43
2012-07-10,2.12,2.45
2012-07-11,2.11,2.43
2012-07-12,2.08,2.4
2012-07-13,2.11,2.44
2012-07-16,2.11,2.44
2012-07-17,2.12,2.46
2012-07-18,2.12,2.45
2012-07-19,2.16,2.5
2012-07-20,2.16,2.55
2012-07-23,2.15,2.55
2012-07-24,2.12,2.54
2012-07-25,2.1,2.52
2012-07-26,2.11,2.51
2012-07-27,2.19,2.59
2012-07-30,2.17,2.56
2012-07-31,2.2,2.57
2012-08-01,2.23,2.61
2012-08-02,2.2,2.57
2012-08-03,2.26,2.65
2012-08-06,2.27,2.65
2012-08-07,2.31,2.67
2012-08-08,2.29,2.66
2012-08-09,2.27,2.62
2012-08-10,2.25,2.6
2012-08-13,2.23,2.56
2012-08-14,2.26,2.61
2012-08-15,2.25,2.61
2012-08-16,2.25,2.6
2012-08-17,2.24,2.62
2012-08-20,2.25,2.66
2012-08-21,2.25,2.64
2012-08-22,2.26,2.64
2012-08-23,2.3,2.64
2012-08-24,2.28,2.62
2012-08-27,2.29,2.61
2012-08-28,2.32,2.66
2012-08-29,2.3,2.65
2012-08-30,2.26,2.6
2012-08-31,2.25,2.55
2012-09-03,,
2012-09-04,2.27,2.57
2012-09-05,2.29,2.6
2012-09-06,2.31,2.61
2012-09-07,2.35,2.67
2012-09-10,2.36,2.64
2012-09-11,2.38,2.65
2012-09-12,2.38,2.64
2012-09-13,2.47,2.71
2012-09-14,2.64,2.89
2012-09-17,2.59,2.87
2012-09-18,2.55,2.87
2012-09-19,2.54,2.89
2012-09-20,2.5,2.79
2012-09-21,2.48,2.78
2012-09-24,2.47,2.79
2012-09-25,2.44,2.73
2012-09-26,2.41,2.73
2012-09-27,2.44,2.77
2012-09-28,2.42,2.73
2012-10-01,2.42,2.73
2012-10-02,2.47,2.82
2012-10-03,2.47,2.76
2012-10-04,2.56,2.87
2012-10-05,2.57,2.86
2012-10-08,,
2012-10-09,2.55,2.83
2012-10-10,2.52,2.81
2012-10-11,2.47,2.75
2012-10-12,2.47,2.79
2012-10-15,2.48,2.77
2012-10-16,2.46,2.74
2012-10-17,2.48,2.74
2012-10-18,2.52,2.82
2012-10-19,2.5,2.81
2012-10-22,2.53,2.88
2012-10-23,2.5,2.85
2012-10-24,2.49,2.85
2012-10-25,2.49,2.85
2012-10-26,2.47,2.86
2012-10-29,2.47,2.85
2012-10-30,,
2012-10-31,2.5,2.88
2012-11-01,2.52,2.91
2012-11-02,2.48,2.84
2012-11-05,2.47,2.87
2012-11-06,2.5,2.88
2012-11-07,2.48,2.88
2012-11-08,2.47,2.87
2012-11-09,2.44,2.83
2012-11-12,,
2012-11-13,2.43,2.82
2012-11-14,2.4,2.78
2012-11-15,2.38,2.76
